# Cross-port raw-weather facts (Phase-7 Step 4). GENERATED, do not edit.
# Source: tests/oracle/winter_wheat_weather.json (raw NASAPower facts).
# The Rust biosphere::weather reads this via include_str! and runs the
# clean-room conversions (daylength sin/acos/tan, incident_par,
# net_radiation, vpd exp) ITSELF, exercising the weather libm cross-port.
# day_of_year is a calendar computation (tm_yday), not a libm op, so it
# is precomputed. Regenerate via gen_biosphere_weather.py.
#
latitude	0x1.a000000000000p+5
# doy	temp_c	irrad_j_m2_day	vap_hpa
108	0x1.28f5c28f5c28fp+3	0x1.1f79c00000000p+24	0x1.10955d19074dfp+3
109	0x1.3666666666666p+3	0x1.4a81600000000p+24	0x1.3115df9cd3bc4p+3
110	0x1.f3d70a3d70a3dp+2	0x1.1c93900000000p+24	0x1.dc6ecb8360ddap+2
111	0x1.f333333333333p+2	0x1.48d3b00000000p+24	0x1.d2b21104c5313p+2
112	0x1.7b851eb851eb8p+3	0x1.474d100000000p+24	0x1.18e5e5e1f0540p+3
113	0x1.b947ae147ae14p+3	0x1.bf15200000000p+23	0x1.6e23e8aa2e418p+3
114	0x1.fe66666666666p+3	0x1.b021000000000p+23	0x1.b76ff5b388d22p+3
115	0x1.2947ae147ae14p+4	0x1.fda4c00000000p+23	0x1.d246cf587789ep+3
116	0x1.20a3d70a3d70ap+4	0x1.1dcc100000000p+24	0x1.f506dfd6c9bf2p+3
117	0x1.1947ae147ae14p+4	0x1.4726000000000p+24	0x1.c416163a9dec9p+3
118	0x1.0f851eb851eb8p+4	0x1.4948e00000000p+24	0x1.c6797a4b7f19ep+3
119	0x1.c23d70a3d70a4p+3	0x1.5d46100000000p+24	0x1.517c0bb549429p+3
120	0x1.78a3d70a3d70ap+3	0x1.7ae0300000000p+24	0x1.040f78cde4ad1p+3
121	0x1.ac7ae147ae148p+3	0x1.8540700000000p+24	0x1.3966f3621e9e1p+3
122	0x1.9a8f5c28f5c29p+3	0x1.816fe00000000p+24	0x1.19aec7fa4fa14p+3
123	0x1.b28f5c28f5c29p+3	0x1.6d24900000000p+24	0x1.5a565c047ee28p+3
124	0x1.c8a3d70a3d70ap+3	0x1.650e400000000p+24	0x1.6d6609a671256p+3
125	0x1.8c28f5c28f5c3p+3	0x1.4c56200000000p+24	0x1.5da669b237bedp+3
126	0x1.83851eb851eb8p+3	0x1.bb6ba00000000p+23	0x1.6c6967111aaa5p+3
127	0x1.9666666666666p+3	0x1.e848000000000p+22	0x1.bc6682626f1cep+3
128	0x1.82e147ae147aep+3	0x1.a87fe00000000p+23	0x1.7ecbc32da0425p+3
